ɂah,snowshoe
lı̀gaezǫ̀ą,"labrador tea, medicine for shortness of breath; northern comandra"
lı̀gaezǫǫ̀,"labrador tea, medicine for shortness of breath; northern comandra"
lı̀gahwhı̀,coffee
lı̀gahwhı̀ kǫ̀,cafe; coffee shop
lı̀galǫ̀,gallon
lı̀godǫ̀,cotton; cotton fabric
lıhsà,shawl
lıhshà,shawl
lıı̀bǫ̀,ribbon
lıı̀htǫ,teapot; teakettle
lıjè,hearts in cards
lı̀jıwı̀,galvanized tub; washtub
lı̀męę̀,narrow cloth trim (old type); rickrack
lı̀męę̀ nǫ̀ǫghòo,rickrack
lı̀merı̀,narrow cloth trim (old type); rickrack
lı̀mbeè,narrow cloth trim (old type); rickrack
lı̀sabòh ts'ah,broadbrimmed hat
lı̀sawà,savage
"lı̀sımą, nesımı̨̀",towel
łààhnǫǫ,mainland
lı̀sımı̨̀,towel
lızà,ace in cards
"lı̀, welı̀",Expression indicating a question
lǫǫ̀,evidently; apparently
lǫǫ̀,evidently; apparently; obviously
łą̀ą,together
łą̀ą ełèts'ehdè,get together (plural)
łą̀ą nàts'edèe kǫ̀,apartment
łą̀ą nèts'ehtł'ı̀,pour in a pile
łą̀ą nèts'ele,put together (plural objects); pile together (plural objects)
łą̀ą nèts'ewa,pile together (many things)
łą̀ą nı̀ze,be piled up (plural objects)
łą̀ą nı̀zhe,be piled up (plural objects)
łą̀ą whela,be grouped; be assembled
łààghǫǫ̀,once in a while; sometimes
łaàhk'e,dry-wood without bark
ładàts'eehwhe,cut in half
ładàts'eet'à,cut in half
ładàts'ehdlà,split in half; tear in half
ładı̨ı̨̀,differently
ładı̨ı̨̀ at'ı̨̀,be changeable; change regularly
ładı̨ı̨ k'èts'eechı,replace; put in a different one
ładı̨ı̨ k'èts'eetsı,replace; put in a different one
ładı̨ı̨̀ k'èts'eetsı,put in differently; put in wrong
łàghǫǫ̀,once in a while; often
łàı̨łı̨ı̨,suit; one-piece garment
łata,
łàtageeghàa,baseball game
łàtageehxàa,baseball game
łàtats'eeghà,play baseball
łàtats'eehtòo,game with bow and arrow
łàtats'eehxà,bat
łat'e,at once
łàt'e,in one place
łàt'e... -le,not in one place
łatsaa,for a while; for a little while
łatsoa,for a while; for a little while
łats'eeghàa làat'ı̨,shiver
łats'ıgeedè,go different ways (plural)
łats'ıı̨lı̨ı̨,fork of river
łats'ıts'ehch'ı,split; divide by tearing
łats'ıts'ehdlà,split into two pieces; tear in half
łats'ıts'ehts'ı,split; divide by tearing
łats'ıts'et'à,cut open; split by cutting; divide by cutting
łè,flour; powder
łèa,powder
łèbè,ashes
Łèbè Dzęę̀,Ash Wednesday
łedaàgots'ezoò,squint
Łedàıdzęę̀,Friday
łedęxàts'eedè-le,we are never without each other
łèdı̨,baking powder
łedı̀,taste; smell
łèdzèh,clay
łèdzèhkweè,mudstone; sandstone
łèèdlı̨ı̨,river fork
łèhtè,flat place
łekǫ,be tasty; taste good; be delicious; be sweet
łekǫa,sweets; desserts
łekǫa goghàı̨dı,trick or treat! give us sweets!
Łekǫ.,It tastes good.
łek'à,be fat
łek'èats'ı̨ı̨wǫ-le,we don't agree
łek'ènèts'ıdè,go one after another (plural)
łèkw'ǫ̀ą,"24-pound bag of flour, long and skinny"
łèmbè,ashes
Łèmbè Dzęę̀,Ash Wednesday
łètı̀,hard ashes at the bottom of a fire; lye
łetǫɂets'eelı,stitch; make stitches
łetǫts'eelı,stitch
łètǫts'eèlı,sew a turned edge; hem
łèt'è,bannock; bread
łèt'è bò wetǫǫ̀ whelaa,sandwich with meat
łèt'è łekǫą,cookie
łèt'è łekǫǫ,cake
łèt'è łekǫǫ wet'à godzęę̀ hohłèe,birthday cake
łèt'èa,yeast
łèt'èhgǫ,pilot-bread; biscuit; cracker
łèt'èhgǫ detǫ-lea,cracker
łèt'èhgǫą,small biscuit
łèt'èhghı̨̀ą,donut
łèt'èhtłòa,pancakes
łèt'èhyı̨̀ą,donut
łèt'èwıı̀,bread from the store
łèt'ǫts'eèlı,sew a turned edge finely; hem finely
łètsı,powdery clay
łètsıh,ochre
łèwò,flour sack
łeyı̨,be smooth; be greasy
Łıdahtèe Zaà,September
łıe,fish
łıekǫ̀ą,warehouse; fish shack
łıek'àà,gills
łıek'ı̨ı̨̀,fish eggs; roe
łıekwǫ̀,fish meat; fish as food
łıelıı,frozen fish
łıetsı̨̀,pounded dried whitefish
łıets'ehgǫǫ,place for drying fish
łıets'ıı̀hkwo,fish anus
łıets'ıı̀htsǫ̀ǫ̀,fish anus
łıgǫhtı̀,fishing lake
łıgotsè,stick-fish for dogfeed
łıghàà,ice pressure ridge
łıh,ice
łı̀h,whitefish
łı̀hcho,frying pan
łıhlıı,frozen fish
łı̀htso,frying pan
Łı̀htsok'è,Snowdrift
łıı goghǫ nàedı̀,sell fish
łıı ghǫ nàts'edè,live in fish camps (plural)
łıı hats'ı̨ı̨wǫ,fish
łıı k'alats'edèe nı̨htł'èè,fishing license
łıı ts'ehtsǫ ts'et'à,cut open a fish
łıı weyı̀ı k'eɂòo tǫǫ̀,fish tank
łıı̀hdzèe wek'e ats'ehɂı̨,put a bandage on
łıı̀nàyatı,pause in talking
łıı̀yahtı,stop talking
łık'àdèe k'è,fish camp
łık'è,early summer; summer
łıkw'à,ice scoop
łıwe,fish
łıwe deɂè,fish run
łıwe ehk'èts'ı̀le,stockpile fish
łıwe ehłı̀,fish is caught in a net
łıwe k'àodèe dǫǫ̀,fishermen
łıwe k'àowoo dǫǫ̀,fisherman
łıwe ło k'e ats'ehɂı̨,smoke fish
łıwe sıı̀ts'ehɂı̨,cleaning fish
łıwe ts'elı̀,catch fish in a net; net fish
łıwe weyı̀ı k'eɂòo ejatǫ,fish tank
łıwechè,fish tail
łıwecho,large fish
Łıwedaıdzęę̀,Friday
Łıwedats'ehtèe Zaà,September
łıwedı̀a,mayfly; fishfly
łıwedıı̀,fish bait
łıwedzeè,fish heart
łıwedzı̀a,sardines
łıwegotsè,stick-fish for dogfeed
łıweghòò,fish teeth
łıwejı̀a,sardines
łıwekǫ̀ą,warehouse; fish shack
Łıwek'atı̀,Duck Lake
łıwek'ı̨ı̨̀,fish eggs; roe
łıwekwı̀ghǫ̀ǫ̀,fish brain
łıwekwı̀kw'ǫǫ̀,fish skull
łıwekwǫ̀,fish meat; fish as food
łıwekw'ǫǫ̀ xàts'ewa,fillet a fish
łıwelı̨ı̨̀,fresh fish
łıwenǫkw'ǫǫ̀,fish spine
łıwendı̀a,mayfly; fishfly
łıwetèè,fish-cleaning mat
łıwet'aà,fish fin
łıwet'abaà,lower front fin
łıwet'ahsò,swim bladder
łıwet'ahshò,swim bladder
łıwet'ambaà,lower front fin
łıwet'ıı̀,fish scales
łıwetł'à,back part of fish; fish tail
łıwetł'èè,fish slime
łıwetł'òò,fish gall bladder; fish remains
łıwetsè,fish tail
łıwetsè,stick-fish for dogfeed
łıwetsı̨̀,pounded dried whitefish
łıwetso,large fish
Łıwets'edèedzęę̀,Friday
łıwets'ıı̀,fish guts
łıwets'ıı̀hdzı̨̀ą,fish stomach
łıwets'òo,fish kidney
łıwewòò,fish liver
łıwexà,fish club
łıwezǫǫ,trout
łıwezǫǫ̀,trout
łıwezǫǫ dek'oo,Arctic char
łıwezǫǫwoò,trout stomach
łıwezhaa,herring; small fish
ło,smoke
łǫ,lots; many; much
ło k'e ats'ehɂı̨,smoke over a fire
łǫ̀hdı̨,seven
łǫ̀hdı̨ènǫ,seventy
łokǫ̀,smoke-house
łǫ̀nı̀ts'edzı̀,stop breathing
łǫ̀nı̀ts'ejı̀,stop breathing
łǫ̀ǫ̀ ts'eekoo tàda,pertusis; whooping cough
łǫǫ̀tǫ,nine
łǫǫ̀tǫènǫ,ninety
łots'ı̀,soot
łozàa,ashes (top layer of white ashes)
Łozàa Gots'abeè K'e Ats'ehɂı̨ı̨,Ash Wednesday
łozhàa,ashes (top layer of white ashes)
Łozhàa Gots'abeè K'e Ats'ehɂı̨ı̨,Ash Wednesday
łǫ-lea,few; little bit
mą̀ą,visitor; traveller; trader; sojourner
mąą,have a bad odour; smell bad; taste bad; stink
mąetsı̨,pee (for a woman)
mąh,have a bad odour; smell bad; taste bad; stink
mahsı̀,be thankful; thank you; be good; be well
mahsı̀,Expression for greeting people and saying goodbye
mahsı̀ ts'ı̨ı̨wǫ,give thanks; be grateful; be thankful
mahtè,apron
mąhtè,apron
mamà,mother; mom
mamàcho,grandmother; great-grandmother
mamàtso,grandmother; great-grandmother
mą̀naedè,they're on their way back from a trading trip (plural)
mą̀ne,visitor; traveller; trader; sojourner
ması̀,be thankful; thank you; be good; be well
ması̀,Expression for greeting people and saying goodbye
Ması̀ Ts'ı̨ı̨wǫǫ Dzęę̀,Thanksgiving
ması̀ hòɂǫ,(a situation) is well
Ması̀ Ts'enı̨wǫǫ Dzęę̀,Thanksgiving
ması̀ ts'ı̨ı̨hwhǫ,thank; be grateful to; appreciate
ması̀cho,thanks a lot; thank you very much
ması̀tso,thanks a lot; thank you very much
mèaghoo,Syllables for singing to babies
memè,Expression for the sound of someone going to sleep
mı̨̀,net; web
mı̨̀ gohzı̀ı̀,volleyball
mı̨̀ mǫǫ̀ɂets'eht'ı̀,tie a rope along top and bottom of net; back a net
mı̨̀ moòɂets'eht'ı̀,tie a rope along top and bottom of net; back a net
mı̨̀ ts'ehtł'ı̨,repair a net
mı̨̀hk'è,fishing place; fishing hole in ice; net marker
mı̨̀hkweè,weights for holding down a net; sinkers
mǫ̀chàa,lower edge of tent
mǫ̀chą̀ą,lower edge of tent
mǫdzagǫ,dried apple
mǫ̀hdaà,some; few
mǫhgwı̨,owl
mǫhgwı̨ degoo,white owl
mǫ̀hnaà,some; few
"mǫ̀hndaa, wòhdaa",some
mǫ̀ht'a,outside
mǫ̀ht'a gots'eèhk'ǫ,"camp outside, especially as a menstrual passage rite; have her period; menstruate"
mǫ̀ht'a ts'ǫneè enı̀ı̨tǫ,outside door
Mǫhwhı̀ Ehdaà,Murphy's Point; street in Rae named after a famous Dogrib leader
Mohwhı Gogha Dèè Nı̨ı̨tł'èe,Mohwhi Boundary
Mòla,French person; non-Native person; white person
Mòla Got'ı̨ı̨̀,French people
mòla k'aèt'aa,Chinese checkers
mòla k'àmbaà,chicken
mòla kw'ahtı,policeman; policemen; RCMP
Mòla Nèk'e,Edmonton
Mòla Ta,French Point in Rae
Mòla ta Tı̨lıı̀,street in Rae named after French descendants living in that area
mòla tehmı̨̀ı̨̀,backpack
mòlaetłeè,butter
mòlaezǫǫ,black person
Mòlaı,French person; non-Native person; white person
Mòlaı Nèk'e,Edmonton
mòlaıdıı̀,groceries
mǫ̀laızı̀ı̀,fabric clothing; store-bought clothes
mǫ̀laızhı̀ı̀,fabric clothing; store-bought clothes
mòlanèk'e,"city, down south, outside of the Northwest Territories"
mòlanǫ̀daà,cat
mòlanǫ̀daà dezǫǫ,black cat
Mòlasǫǫ̀łı̨ı̨,French people
mǫ̀naa,some
mǫǫ̀,Expression used to scare children; spooky owl monster; monster
mǫǫ̀,monster; something that scares people
mǫǫ̀la,button
mǫǫ̀la det'àts'ehge,button up
mǫǫ̀lak'è,buttonhole
mǫ̀t'a,outside
mǫ̀t'a,outside
mǫ̀tsą̀ą,lower edge of tent
mǫ̀wà,opening at top of tepee; smoke-hole in tepee
mbeh,knife
mbeh,sleep
mbehchı̨ı̨̀,sled; vehicle; truck
mbehchı̨ı̨̀,sled; vehicle; truck
mbehchı̨ı̨̀,toboggan; sled; truck; car; vehicle
mbehchı̨ı̨̀ etǫ,dogteam trail
mbehchı̨ı̨̀ k'èndı̀ı dǫǫ̀,driver
mbehchı̨ı̨̀ etǫǫ̀,dogteam trail
mbehchı̨ı̨̀ ezeè ats'ehɂı̨,toot the horn of a vehicle; honk the horn of a vehicle
mbehchı̨ı̨̀ kǫ̀,garage
mbehchı̨ı̨̀ k'enaɂets'ehtse,wash a vehicle
mbehchı̨ı̨̀ k'èndı̀ı nı̨htł'è,driver's license
mbehchı̨ı̨̀ k'èts'edı̀,drive a vehicle
mbehchı̨ı̨̀ sıgeèhɂı̨ı̨ kǫ̀,car repair shop; garage for repairs
mbehchı̨ı̨̀ tı̨lıı̀,dogteam trail
mbehchı̨ı̨̀ tı̨lıı̀,dogteam trail
mbehchı̨ı̨̀ tı̨lıı̀,dogteam trail
mbehchı̨ı̨̀ tı̨lıı̀ naàwheɂaa,bridge
mbehchı̨ı̨̀ t'ǫ̀ whedaa,"wheel dog, last dog in the team"
mbehchı̨ı̨̀ tł'a whelaa,sled runners
mbehchı̨ı̨̀ tł'àı̨ɂaa,toboggan handles; toboggan back support
mbehchı̨ı̨̀kwı̀,front of sled
mbehchı̨ı̨̀wò,sled covering
mbehchı̨kwı̀,front of sled
mbehcho,butcher knife; sword
mbehcho,big knife
mbehcho,big knife
Mbehcho Dǫǫ̀,American
Mbehcho Nèk'e,United States of America
Mbehchokǫ̀,Rae
mbehtsı̨ı̨̀,toboggan; sled; truck; car; vehicle
mbehtsı̨ı̨̀ etǫǫ̀,dogteam trail
mbehtsı̨ı̨̀ ezeè ats'ehɂı̨,toot the horn of a vehicle; honk the horn of a vehicle
mbehtsı̨ı̨̀ kǫ̀,garage
mbehtsı̨ı̨̀ k'èndı̀ı dǫǫ̀,driver
mbehtsı̨ı̨̀ k'èndı̀ı nı̨htł'è,driver's license
mbehtsı̨ı̨̀ k'èts'edı̀,drive a vehicle
mbehtsı̨ı̨̀ sıgeèhɂı̨ı̨ kǫ̀,car repair shop; garage for repairs
mbehtsı̨ı̨̀ tı̨lıı̀,dogteam trail
mbehtsı̨ı̨̀ tı̨lıı̀ naàwheɂaa,bridge
mbehtsı̨ı̨̀ t'ǫ̀ whedaa,wheel dog; last dog in the team
mbehtsı̨ı̨̀ tł'a whelaa,sled runners
mbehtsı̨ı̨̀ tł'àı̨ɂaa,toboggan handles; toboggan back support
mbehtsı̨ı̨̀kwı̀,front of sled
mbehtsı̨ı̨̀wò,sled covering
mbehtso,butcher knife; sword
Mbehtso Dǫǫ̀,American
Mbehtso Nèk'e,United States of America
Mbehtsokǫ̀,Rae
mbehwhò,knife sheath
mbò,food; meat
mbò,meat
mbò delı̨ı̨̀,fresh meat
mbò ı̨ht'e,raw meat
mbò kàeht'èe,kitchen
mbò kàeht'èe,jack in cards; cook
mbò kàeht'èe dǫǫ̀,cook
mbò kàet'èe kǫ̀,kitchen
mbò kàts'eeht'è,cook food
mbò xàeht'èe,jack in cards; cook
mbò xàeht'èe dǫǫ̀,cook
mbò xàet'èe kǫ̀,kitchen
mbògoghoò,fork
mbògǫǫ̀,dry-meat
mbòghoghoò,fork for eating with
mbòt'è,cooked meat
mb-,Words with the spelling 'mb' can be spelled with 'b'.
nàɂedı̀ı dǫǫ̀,store manager; fur trader
nàɂedı̀ı kǫ̀,store; shop
nàɂedı̀ı k'è,store; shop
nàɂeedı̀ı dǫǫ̀,person who serves at a feast; server
nàɂeèdı̀ı wenı̨htł'èè,receipt
nàɂeekwı̨̀ı̨,wood chips
naɂeelı̀,snare repeatedly
nàɂeelıı k'è,(sewing) stitches
naɂehka,jump; hop
nàɂenı̀ı kǫ̀,store; shop
nàɂenı̀ı k'è,store; shop
nàɂetsı̨̀,colours from sunset; make signs in sign language
nàɂets'edlò,laugh; smile
nàɂets'eedı̀,serve food
nàɂets'eekwı̨̀,chop up to make wood chips
nàɂets'eelı,sewing
nàɂets'ehbà,supply things; shop for things
nàɂı̨xèh,twilight
naa,
naa,Expression when offering something to someone; take it
naà,Expression of expectation: 'Surely you...'
ną̀ą,west
ną̀ą nı̨hts'ıı̀,west wind
Ną̀ą Nı̨hts'ıı̀ Ts'ǫǫ̀hk'e,Western Arctic
naàdeda wet'à bebı̀a gǫ̀hłı̨-le,IUD
nàaka,northern lights
nààka,northern lights
nàaka kǫ̀ nàege,northern lights
Nàakaà Tı̀,Labrish Lake
nàakeè,second time; twice
nàakeè,twice
Nàak'aàzhıı̀deè sǫǫ̀mbak'è,Terra Mine
nàawhot'ı,tie across; span across; stretch across (rope-like object)
naà-,across water
nàbe,otter
nachı̨ɂeele,gather things
nachı̨deets'ò,"pucker up (plastic, hide, or cloth)"
nachı̨deewı̀,have a muscle cramp
nàchı̨èzha,be standing up (rigid objects)
nachı̨ts'eele,"gather up (plural objects, sticks)"
nadąą̀,future; ahead
nadąą̀ k'ehoɂaa,coordinator
nadąą̀k'ets'eet'ı̨̀,look into the future
nadaayı̨,starting to melt
nàdadeeɂı̨̀,whisper
nàdaetı̀,beg; plead; implore
nàdahoewo,(situation) is noisy with voices; (situation) is in an uproar; there is a commotion
nàdahots'eeɂà,swear; abuse verbally
nàdats'eɂı̨,whisper (EM)
nadats'eelı,sew up the opening of a bag
nàdats'eetı̀,beg; entreat; plead; implore; beseech
nadats'eezà,tie up the opening of a bag
nàde,live; stay
nàdè,live (plural); stay (plural)
nàdeeɂı̨̀ı̨ t'à nàts'eghòo,be sneaky
nadeèdaa,elastic band
nadeèzhǫ,older bull caribou
nàdetes'eeɂı̨̀,hide oneself; stay out of sight
nadets'èko,bronchitis
nadıı̀gwı,warm up self; let's warm up (dual - you and I)
nadıı̀wò,he flew off
nàdlà,get ripped; tear
nadlı̨,be again; become
nadzàa,dry again
nadzè,be resealed; be glued again; be welded again
naeɂà,migrating (animals); returning back (animals)
nàeɂè,step
nàeɂı̨̀ą t'à,secretly
nàeda,move (one person)
naedè,migrating (birds); flying back (plural)
nàedı̀,be bought; be for sale
nàèdı,medicine; drugs; pills
nàèdı dàtłǫ ts'edèe,dosage
nàèdı dèhtł'èe,Vicks
nàèdıeehxoo,Eno
nàèdı godoò ta sı̀ga sıı̀ɂı̨ı̨,insulin
nàedı̀ gha,for sale
nàèdı k'èezǫǫ,doctor
nàèdı k'èezǫǫ kǫ̀,clinic; nursing station; hospital
nàèdı k'èèzhǫǫ,doctor
nàèdı k'èezhǫǫ kǫ̀,clinic; nursing station; hospital
nàèdı nàedı̀ı kǫ̀,drugstore; pharmacy
nàèdı nı̨htł'è,medical card
nàèdı nı̨hts'ıa,Vicks
nàèdı tǫ,medicine bottle; liquor bottle
nàèdı tłeè,ointment
nàèdı wet'à edexèts'edı̀-le,anesthetic
nàèdı wet'à goghòò nàtso,fluoride
nàèdı wet'à gozha whı̀le,birth control pills
nàèdı wet'à tàda ełaàdee,penicillin
nàèdı weyı̀ı whelaa tǫ̀a,first aid kit; medicine box
nàedıı̀,bulldog fly; large fly
nàèdı̀ı,medicine; drugs; pills
nàèdı̀ı hàɂaa,chemicals
nàèdı̀ı t'à ası̀ı hohłèe,chemicals
nàedıı̀cho,snake; serpent
nàèdı̀ıkweè,uranium
nàèdııłı̨ı̨,poison; toxin; poisonous chemical
nàedıı̀tso,snake; serpent
nàèdıtǫhkw'ǫǫ̀,empty bottle
nàedoo,ground (modifier)
nàedlı,be sewn
nàedlıı kǫ̀,craft store
naedzà,be dried
naedzı̀,heal
nàegàa,powdery snow
naege,packing something back
naego,walking along (four-legged animal)
naegǫ,dry out
naeghı̨,melt
nàèhdlı,be sewn
nàèhdlıı k'è,stitches
nàehk'è,throw off sparks
nàèhza,be standing (plural objects)
nàèhzha,be standing (plural objects)
naejà,be dried
naejı̀,heal
naeka,hopping along
naeka,hop away
nàek'è,blast
naekwı,go out (fire); die out (fire)
naènǫ,twenty
naènǫ daats'ǫ̀ ı̨łè,twenty-one
naetı̨,freeze again
nàetǫ̀,be broken; be cracked; be fractured; be broken down; be out-of-order
naet'à,(sun) keeps coming up
nàewı̀,flow down; waterfall
naeyı̨,melt
nagots'ede,speak again; call again; phone again
nagèa,minute
nagèa k'aɂı̨̀,less than a minute; second
nàgoeda,(area) move
nàgoede,(situation) is noisy; (situation) is busy
nàgoede-le,(situation) is quiet; (situation) is peaceful
nàgoehde,be naughty; be rowdy; be unruly; be active; be wild in behaviour
nagohxòò,squint
nagòhzo,frost
nàgoı̀chı̀,rushed around
nàgoı̀tsı̀,rushed around
nàgotłaà eghàlats'eeda,work fast
nàgotłah,(area) is slippery
nàgotłoò,be slippery
nagots'ede,talk again; call again
nàgòts'eehge,kneel down
nagots'eèhk'ǫ,make fire; make fire again
nàgots'ehde,be naughty; be rowdy; be unruly; be active; be wild in behaviour
nàgòts'ehnèe,right side; right-hand side
nagots'ehtsı̨,rebuild
nagots'ehxò,blink
nàgots'ewa,take down (many things)
nàgots'eze,play
nàgòts'ı̨hɂa,kneel
nàgozhe,play
nàghòò,be quick; daring; courageous
Nahɂąą got'ı̨ı̨̀,Mountain people
nahɂàh detǫǫ,ice fog
Nahɂąnè,Nahanni Butte
nàhgą,bushman; night raider during earlier times
Nàhgąąkwekàa,place named after rock in the Whatì area
Nàhgąąkwekàaghàı̨lı̨ı̨,place named after rock in the Whatì area
nàhkà,northern lights
nàhkaa,wounded; injured; helpless
nàhkąą,wounded animal
nàhkaa ts'ehtsı̨,injure; inflict injury on; wound
nahòdle,disappear (again)
nàhoehwho,work vigorously (one person); labour (one person); rush around (one person); be busy with many things (one person)
nàhoewo,there is a commotion; there is a rush
nàhòèwo,happen
nàhoı̨la,"hanging down, long pliable object like hair"
nàhokeè,twice
nàhokeè,second time; twice
nàhòòwo,happen
nàhotı̀,be hard times; be a struggle; be a need
nàhotı̀-le,easily done
nahǫ̀t'e,be finished
nàhots'eehdè,work vigorously (plural); labour (plural); rush around (plural); be busy with many things (plural)
nahots'eezı̀,take a breather; rest; relax
nahots'eezı̀,take a breather; rest; relax
nahots'eezhı̀,take a breather; rest; relax
